"LV-Nr";"Fachname";"Typ";"Vortragende";"Lehrstuhl";"Link"
"12.00016";"Projektarbeit Software Language Engineering";"";"Rumpe, Bernhard Dieter; Drux, Florian; Jansen, Nico; Rapp, Janik; Stachon, Max Philip";"Lehrstuhl für Software Engineering (Informatik 3)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562565"
"81.00047";"Projektmodul: Analytics and Optimization Project";"";"Schneider, Michael David";"Lehrstuhl für Computational Logistics";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563476"
"81.39207";"Projektmodul: OR-Praktikum";"";"Lübbecke, Marco";"Lehrstuhl für Operations Research";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561952"
"41.28865";"Prozessentwicklung in der Verfahrenstechnik";"VU";"Mitsos, Alexander; Ben Hicham, Karim Kristian; Ebeling, Katharina Maria; Seidenberg, Jan Raphael";"Lehrstuhl für Systemverfahrenstechnik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/560797"
"92.00019";"QP Biomedizinische Informatik: How to research? -Eine Reise durch den Werkzeugkasten für die patientenorientierte Forschung (BI014)";"VU";"Lipprandt, Myriam; Röhrig, Rainer";"Institut und Lehrstuhl für Medizinische Informatik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/562494"
"13.00020";"Quantum Algorithms";"VU";"Wegewijs, Maarten Rolf";"Lehrstuhl für Theoretische Physik A und Institut für Theorie der statistischen Physik";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563705"
"12.00132";"Quantum cryptography";"SE";"Unruh, Dominique";"Lehrstuhl für Quanteninformationssysteme (Informatik 15)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/564023"
"13.33480";"Quantum Information";"VU";"Berta, Mario Andrea";"Lehrstuhl für Quanteninformationstheorie";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/561214"
"12.00133";"Quantum Program Verification";"SE";"Gehnen, Christina";"Lehrstuhl für Quanteninformationssysteme (Informatik 15)";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/563654"
"12.00159";"Real-Time Systems and Applications";"VO";"Chen, Jian-Jia";"Lehrstuhl für Cyber-Physische Systeme";"https://online.rwth-aachen.de/RWTHonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/588253"
